timestamp,sensor1,sensor2,sensor3
2025-12-23 timestamp	sensor1	sensor2	sensor3
 2025-12-23 00:01:12 	48.8	46.5	43.4
 2025-12-23 00:11:12 	48.7	46.3	43.5
 2025-12-23 00:21:12 	48.7	46.3	43.6
 2025-12-23 00:41:12 	48.7	46.4	43.7
 2025-12-23 00:51:12 	48.8	46.4	43.7
 2025-12-23 1:01:13 	48.8	46.4	43.6
 2025-12-23 1:11:12 	48.9	46.6	43.6
 2025-12-23 1:21:13 	48.9	46.6	43.7
 2025-12-23 1:31:12 	48.8	46.5	43.7
 2025-12-23 1:41:12 	48.8	46.5	43.9
 2025-12-23 1:51:12 	48.8	46.4	43.9
 2025-12-23 2:01:12 	48.7	46.3	43.9
 2025-12-23 2:11:13 	48.7	46.3	43.8
 2025-12-23 2:21:12 	48.8	46.2	43.8
 2025-12-23 2:31:13 	48.8	46.2	43.6
 2025-12-23 2:41:13 	48.8	46.2	43.6
 2025-12-23 2:51:13 	48.8	46.2	43.6
 2025-12-23 3:01:12 	48.8	46.2	43.6
 3:11:13 	48.8	46.2	43.7
 3:21:13 	48.8	46.2	43.8
 3:31:13 	48.9	46.1	43.8
 3:41:13 	48.8	46.1	43.7
 3:51:13 	48.8	46.1	43.6
 4:01:13 	48.8	46.2	43.4
 4:11:13 	48.8	46.2	43.4
 4:21:13 	48.7	46.2	43.6
 4:31:13 	48.7	46.1	43.6
 4:41:13 	48.8	46.2	43.7
 4:51:13 	48.7	46.2	43.7
 5:01:07 	48.8	46.1	43.7
 5:11:07 	48.8	46.2	43.8
 5:21:07 	48.8	46.3	43.8
 5:31:07 	48.6	46.3	43.9
 5:41:07 	48.7	46.3	44
 5:51:07 	48.6	46.3	44
 6:01:07 	48.6	46.2	43.8
 6:11:07 	48.8	46.2	43.8
 6:21:07 	48.9	46.1	43.7
 6:31:07 	48.8	46.2	43.7
 6:41:07 	48.9	46.2	43.7
 6:51:07 	48.8	46.4	43.6
 7:01:07 	48.8	46.4	43.6
 7:11:07 	48.7	46.4	43.7
 7:21:07 	48.8	46.4	43.6
 7:31:07 	48.6	46.4	43.6
 7:41:07 	48.7	46.2	43.8
 7:51:07 	48.7	46.1	43.7
 8:01:07 	48.8	46.1	43.8
 8:11:07 	48.8	46.1	43.8
 8:21:07 	48.8	46.1	43.8
 8:31:07 	48.8	46.1	43.7
 8:41:07 	48.8	46.1	43.8
 8:51:07 	48.8	46.2	43.7
 9:01:07 	54.4	50	46.1
 9:11:07 	59.9	53.4	48
 9:21:07 	65.3	56.8	49.9
 9:41:07 	70.5	59.9	51.7
 9:51:07 	75.4	62.8	53.2
 10:01:12 	74.5	61.9	52.1
 10:11:07 	73.7	61	51.5
 10:21:07 	72.9	60.2	50.7
 10:31:12 	72.1	59.4	50
 10:41:08 	71.4	58.6	49.4
 10:51:07 	70.8	57.9	48.8
 11:01:07	70.2	57.3	48.2
 11:11:12 	69.5	56.6	47.8
 11:21:10	68.8	55.9	47.4
 11:31:09	68.2	55.4	47
 11:41:07	67.7	54.8	46.7
 11:51:07	67	54.2	46.4
 12:01:08	66.6	53.8	46.2
 12:11:08	66.1	53.4	46
 12:21:08	65.6	53	45.8
 12:31:08	65.1	52.6	45.4
 12:41:08	64.6	52.2	45.4
 12:51:08	64.1	51.8	45.1
 13:01:08	63.7	51.4	44.9
 13:11:08	63.2	51	44.8
 13:21:08	62.7	50.7	44.7
 13:31:08	62.4	50.5	44.5
 13:41:08	62	50.2	44.4
 13:51:08	61.6	50	44.3
 14:01:07	61.2	49.8	44.1
 14:11:08	60.9	49.5	44
 14:21:07	60.5	49.3	43.8
 14:31:08	60.2	49.1	43.9
 14:41:07	59.8	49	44
 14:51:08	59.5	48.8	44
 15:01:08	59.1	48.8	44.1
 15:11:08	58.8	48.7	44.2
 15:31:08	58.4	48.5	44.1
 15:41:11	58.1	48.3	44
 15:51:11	57.7	48.2	44
 16:01:08	57.5	48	43.9
 16:11:08	57.2	47.9	43.7
 16:21:13	57.1	47.8	43.7
 16:31:09	56.8	47.9	43.7
 16:41:11	56.6	47.8	43.6
 16:51:09	56.3	47.7	43.7
 17:01:09	56.1	47.6	43.8
 17:11:08	60.7	51.2	46.1
 17:21:09	65.2	54.5	48
 17:31:08	69.7	57.8	49.9
 17:41:08	74	60.8	51.5
 17:51:08	78	63.6	53
 18:01:09	77.1	62.6	52
 18:11:09	76.2	61.6	51.2
 18:21:09	75.4	60.7	50.6
 18:31:09	74.6	59.8	49.9
 18:41:09	73.9	58.8	49.2
 18:51:08	75.3	60.6	50.8
 19:01:09	78.2	64.1	53.9
 19:11:09	81.8	68.6	57.8
 19:21:09	85.9	74.1	62.7
 19:31:09	90.5	80.1	68.2
 19:41:09	93.1	83.9	72
 19:51:09	94.5	86.5	74.8
 20:01:09	95.4	88.1	76.7
 20:11:09	95.9	89.3	78.1
 20:21:09	96.1	90	79
 20:31:09	96	89.7	78.8
 20:41:09	95.5	88.8	77.9
 20:51:09	94.6	87.3	76.1
 21:01:09	93.5	85.4	73.8
 21:11:09	92.2	83.1	70.9
 21:21:09	90.9	80.9	68.3
 21:31:10	89.7	78.9	65.8
 22:01:09	88.4	77	63.6
 22:11:09	87.3	75.2	61.6
 22:21:09	86.1	73.4	59.7
 22:31:09	84.9	71.9	58
 22:41:09	83.8	70.3	56.6
 22:51:09	82.8	68.9	55.3
 23:01:09	81.8	67.4	54.1
 23:11:12	80.8	66.1	53
 23:21:09	79.8	64.9	52.1
 23:31:09	78.9	63.7	51.2
 23:41:09	78.4	63.1	50.8
 23:51:09	77.9	62.6	50.6
2026-02-03 22:27:54,4095,4095,4095
